rank,username,ptcg_id,area,points
568,pokemonvsch1,tw15392207,新北市,30pt
568,ryanwu,tw08856107,臺中市,30pt
568,shirofox,tw24164090,桃園市,30pt
568,Ink,tw41822925,新竹市,30pt
591,BumpyJumpy,tw97370246,桃園市,29pt
591,Monkeyz,tw36173804,彰化縣,29pt
591,Sean,tw66588143,臺南市,29pt
591,andreee,tw85823053,新北市,29pt
595,A_kai,tw63008541,南投縣,28pt
595,BST_Ethan,tw86219919,臺中市,28pt
595,BST_ROB,tw73762496,臺中市,28pt
595,Blues,tw41682200,臺北市,28pt
595,Bryant,tw40682117,新竹縣,28pt
595,CLG_HoHo,tw53198253,臺中市,28pt
595,Camus,tw66520026,新竹縣,28pt
595,ChenLi_Kibana,tw69538820,高雄市,28pt
595,DCG_tsa1,tw58859352,新北市,28pt
595,Depp,tw41643160,桃園市,28pt
595,Foty,tw63569554,臺北市,28pt
595,Kevinkod,tw81021249,其它地區,28pt
595,KiD,tw15667547,臺南市,28pt
595,Qttsix&hennie_IC,tw10136616,臺中市,28pt
595,Rehorn,tw58835877,基隆市,28pt
595,SeverusGuo,tw38140274,基隆市,28pt
